top_words
"['ca', 'afford', 'refund', 'number', 'invoic', 'request', 'reason', 'thi', 'subscript', 'pleas', 'right', 'use', 'cancel', 'wa', 'charg', 'thank', 'canva', 'renew', 'time', 'automat', 'pro', 'pay', 'just', 'befor', 'trial', 'want', 'did', 'account', 'moment', 'hello']"
"['got', 'charg', 'refund', 'invoic', 'request', 'cancel', 'reason', 'number', 'subscript', 'pleas', 'thi', 'trial', 'wa', 'renew', 'today', 'use', 'thank', 'month', 'befor', 'just', 'want', 'thought', 'forgot', 'free', 'alreadi', 'account', 'date', 'day', 'servic', 'canva']"
"['know', 'did', 'refund', 'invoic', 'number', 'request', 'reason', 'thi', 'wa', 'use', 'subscrib', 'servic', 'didn', 'pleas', 'subscript', 'time', 'charg', 'applic', 'cancel', 'want', 'account', 'activ', 'thank', 'renew', 'haven', 'canva', 'auto', 'sign', 'month', 'automat']"
"['author', 'did', 'refund', 'thi', 'number', 'request', 'invoic', 'reason', 'charg', 'canva', 'payment', 'subscript', 'wa', 'use', 'pleas', 'sign', 'account', 'money', 'renew', 'need', 'want', 'issu', 'login', 'onli', 'problem', 'kind', 'pro', 'describ', 'thank', 'onc']"
"['30', 'day', 'problem', 'trial', 'free', 'describ', 'pro', 'kind', 'issu', 'tri', 'canva', 'cancel', 'help', 'want', 'type', 'charg', 'subscript', 'need', 'card', 'end', 'did', 'use', 'wa', 'sign', 'account', 'like', 'thank', 'pleas', 'subscrib', 'befor']"
"['purchas', 'problem', 'pro', 'describ', 'canva', 'wa', 'issu', 'did', 'kind', 'refund', 'money', 'thi', 'request', 'make', 'number', 'pleas', 'want', 'account', 'invoic', 'accident', 'subscript', 'reason', 'surpris', 'mistak', 'charg', 'card', 'morn', 'got', 'use', 'like']"
"['subscrib', 'refund', 'number', 'invoic', 'request', 'reason', 'did', 'thi', 'want', 'servic', 'use', 'wa', 'recal', 'charg', 'trial', 'canva', 'premuim', 'pleas', 'stage', 'pro', 'dont', 'need', 'urgent', 'thank', 'consid', 'forgot', 'sign', 'think', 'ask', 'didn']"
"['afternoon', 'good', 'number', 'refund', 'account', 'subscript', 'request', 'reason', 'wa', 'debit', 'automat', 'renew', 'cancel', 'ask', 'fund', 'plan', 'return', 'use', 'money', 'did', 'pleas', 'servic', 'period', 'make', 'trial', 'written', 'canva', 'card', 'sinc', 'payment']"
"['return', 'money', 'number', 'account', 'pleas', 'request', 'reason', 'subscript', 'refund', 'hello', 'renew', 'wa', 'use', 'fund', 'automat', 'need', 'thi', 'want', 'cancel', 'ask', 'ha', 'month', 'write', 'did', 'thank', 'withdraw', 'forgot', 'premium', 'canva', 'turn']"
"['problem', 'pro', 'canva', 'describ', 'wa', 'want', 'cancel', 'charg', 'subscript', 'did', 'kind', 'use', 'payment', 'author', 'purchas', 'servic', 'explain', 'like', 'app', 'subscrib', 'refund', 'updat', 'pleas', 'alreadi', 'receiv', 'ha', 'thank', 'money', 'hello', 'imag']"
"['счета', 'номер', 'refund', 'number', 'reason', 'request', 'subscript', 'money', 'automat', 'return', 'wa', 'use', 'cancel', 'pleas', 'hello', 'debit', 'did', 'month', 'continu', 'want', 'servic', 'forgot', 'thank', 'plan', 'renew', 'need', 'payment', 'fund', 'period', 'canva']"
"['30', 'day', 'refund', 'number', 'trial', 'request', 'invoic', 'reason', 'free', 'cancel', 'wa', 'did', 'want', 'charg', 'tri', 'subscript', 'befor', 'pleas', 'use', 'like', 'thank', 'canva', 'sign', 'pro', 'money', 'forgot', 'just', 'onli', 'notifi', 'possibl']"
"['program', 'use', 'refund', 'number', 'thi', 'request', 'reason', 'invoic', 'did', 'cancel', 'want', 'wa', 'money', 'pleas', 'becaus', 'month', 'charg', 'subscript', 'account', 'free', 'need', 'like', 'card', 'tri', 'trial', 'thank', 'year', 'longer', 'problem', 'just']"
"['ve', 'issu', 'kind', 'problem', 'describ', 'charg', 'cancel', 'subscript', 'month', 'tri', 'thi', 'canva', 'account', 'use', 'pro', 'just', 'pleas', 'time', 'hi', 'money', 'refund', 'guy', 'app', 'want', 'thank', 'help', 'year', 'like', 'won', 'need']"
"['intend', 'refund', 'request', 'number', 'did', 'invoic', 'reason', 'renew', 'subscript', 'use', 'pro', 'cancel', 'automat', 'canva', 'thank', 'thi', 'wa', 'pleas', 'purchas', 'servic', 'like', 'continu', 'charg', 'trial', 'need', 'subscrib', 'pay', 'account', 'hi', 'free']"
"['week', 'ago', 'refund', 'cancel', 'request', 'invoic', 'number', 'reason', 'subscript', 'wa', 'thi', 'charg', 'use', 'tri', 'thank', 'account', 'receiv', 'canva', 'like', 'money', 'today', 'pleas', 'want', 'email', 'trial', 'hello', 'pro', 'got', 'did', 'becaus']"
