top_words
"['good', 'morn', 'problem', 'describ', 'help', 'thank', 'type', 'canva', 'kind', 'tell', 'issu', 'like', 'pleas', 'subscript', 'chang', 'need', 'work', 'account', 'pro', 'thi', 'mail', 'know', 'speak', 'design', 'use', 'perform', 'night', 'charg', 'despit', 'access']"
"['close', 'account', 'need', 'help', 'want', 'pleas', 'thi', 'problem', 'like', 'describ', 'servic', 'thank', 'kind', 'issu', 'canva', 'longer', 'pro', 'session', 'plz', 'forc', 'acc', 'use', 'request', 'type', 'month', 'explain', 'discontinu', 'ani', '2nd', 'termin']"
"['want', 'design', 'type', 'problem', 'describ', 'plan', 'pleas', 'size', 'help', 'creat', 'know', 'thank', 'delet', 'thi', 'hello', 'shirt', 'kind', 'canva', 'choos', 'use', 'offer', 'version', 'anymor', 'appear', 'poster', 'backup', 'issu', 'question', 'lite', 'tag']"
"['wrong', 'problem', 'account', 'email', 'describ', 'kind', 'help', 'need', 'issu', 'subscript', 'address', 'type', 'pleas', 'someth', 'premium', 'mail', 'wa', 'say', 'number', 'got', 'thank', 'thi', 'like', 'run', 'messag', 'impress', 'purchas', 'tri', 'canva', 'facebook']"
"['save', 'problem', 'describ', 'kind', 'design', 'issu', 'type', 'need', 'pleas', 'number', 'help', 'wa', 'contact', 'thi', 'project', 'use', 'asap', 'phone', 'chang', 'member', 'ca', 'work', 'entir', 'fix', 'team', 'deign', 'user', 'pictur', 'fail', 'whi']"
"['video', 'present', 'issu', 'kind', 'problem', 'describ', 'play', 'voic', 'view', 'thi', 'record', 'whi', 'ca', 'blank', 'want', 'canva', 'choos', '30', 'unabl', 'doe', 'download', 'slide', 'thank', 'loop', 'hear', 'pleas', 'long', 'entir', 'solv', 'skip']"
"['websit', 'issu', 'kind', 'problem', 'describ', 'open', 'work', 'thi', 'option', 'veri', 'like', 'creat', 'canva', 'url', 'know', 'inform', 'select', 'account', 'let', 'launch', 'click', 'shit', 'crash', 'fuck', 'sync', 'hello', 'today', 'choos', 'post', 'chang']"
"['request', 'number', 'invoic', 'reason', 'refund', 'email', 'someon', 'thi', 'pleas', 'speak', 'wa', 'charg', 'account', 'paper', 'thank', 'contact', 'receiv', 'bank', 'want', 'confus', 'address', 'inform', 'envelop', 'reimburs', 'need', 'card', 'multipl', 'repres', 'servic', 'realli']"
"['join', 'team', 'invit', 'help', 'need', 'ca', 'problem', 'canva', 'pro', 'kind', 'describ', 'wa', 'want', 'alreadi', 'account', 'thi', 'hi', 'friend', 'member', 'enter', 'leav', 'request', 'thank', 'issu', 'email', 'doe', 'ive', 'ask', 'sent', 'pleas']"
"['stop', 'issu', 'kind', 'problem', 'want', 'describ', 'canva', 'subscript', 'account', 'use', 'pleas', 'like', 'charg', 'trial', 'hi', 'payment', 'wish', 'anim', 'longer', 'thi', 'period', 'servic', 'need', 'right', 'card', 'transact', 'money', 'dear', 'button', 'hard']"
"['regist', 'email', 'help', 'account', 'rememb', 'need', 'problem', 'know', 'want', 'pro', 'thi', 'alreadi', 'type', 'student', 'describ', 'canva', 'kind', 'pleas', 'tell', 'address', 'registr', 'password', 'discount', 'log', 'secur', 'free', 'packag', 'lite', 'receiv', 'pay']"
"['record', 'present', 'problem', 'voic', 'describ', 'kind', 'issu', 'camera', 'type', 'websit', 'canva', 'allow', 'thi', 'hi', 'need', 'option', 'view', 'help', 'design', 'thank', 'studio', 'face', 'solut', 'mode', 'audio', 'sound', 'doe', 'provid', 'mic', 'group']"
"['anyth', 'problem', 'issu', 'describ', 'kind', 'ca', 'purchas', 'help', 'make', 'fix', 'type', 'thi', 'canva', 'sinc', 'doesnt', 'receiv', 'els', 'pleas', 'know', 'creat', 'load', 'size', 'search', 'account', 'suddenli', 'error', 'email', 'dont', 'doe', 'night']"
"['paus', 'like', 'account', 'issu', 'kind', 'describ', 'problem', 'subscript', 'month', 'pleas', 'option', 'thank', 'hi', 'pro', 'thi', 'tri', 'continu', 'canva', 'acount', 'today', 'canvapro', 'email', 'possibl', 'wish', 'help', 'ca', 'error', 'plan', 'effect', 'request']"
"['problem', 'kind', 'describ', 'know', 'thank', 'help']"
"['pc', 'open', 'problem', 'file', 'phone', 'ca', 'type', 'window', 'design', 'describ', 'creat', 'chat', 'kind', 'appear', 'noth', 'doe', 'screenshot', 'differ', 'explain', 'imag', 'canva', 'whi', 'cell', 'updat', 'draw', 'save', 'site', 'app', 'shown', 'thi']"
"['folder', 'problem', 'issu', 'kind', 'describ', 'organ', 'sort', 'miss', 'just', 'make', 'new', 'creat', 'canva', 'file', 'way', 'use', 'need', 'client', 'pleas', 'help', 'design', 'hi', 'advis', 'realli', 'team', 'copi', 'easi', 'possibl', 'request', 'cloud']"
"['descript', 'problem', 'kind', 'regist', 'process', 'veri', 'card', 'want', 'payment', 'thank', 'contact', 'pleas', 'support', 'heavi', 'becaus', 'expens', 'charg', 'money', 'enter', 'question', 'charact', 'cover', 'error', 'account', 'fb', 'contract', 'refund', 'pick', 'know', 'appli']"
