top_words
"['size', 'problem', 'save', 'chang', 'text', 'describ', 'kind', 'issu', 'differ', 'type', 'imag', 'design', 'edit', 'download', 'want', 'place', 'right', 'way', 'placement', 'doe', 'letter', 'work', 'canva', 'a4', 'document', 'make', 'big', 'charact', 'file', 'poster']"
"['fail', 'download', 'issu', 'problem', 'kind', 'describ', 'save', 'tri', 'say', 'alway', 'time', 'design', 'file', 'type', 'repeatedli', 'everi', 'goe', 'ha', 'comput', 'retri', 'pleas', 'error', 'thi', 'attempt', 'png', 'end', 'tell', 'wo', 'creat', 'format']"
"['comput', 'save', 'problem', 'describ', 'kind', 'want', 'issu', 'type', 'ca', 'design', 'download', 'imag', 'restor', 'file', 'know', 'video', 'tri', 'mp4', 'thi', 'work', 'send', 'phone', 'job', 'help', 'hello', 'creat', 'sever', 'enter', 'screen', 'cell']"
"['error', 'save', 'problem', 'issu', 'kind', 'describ', 'design', 'file', 'type', 'pleas', 'ca', 'edit', 'tri', 'occur', 'tell', 'indic', 'receiv', 'access', 'help', 'download', 'becaus', 'messag', 'doe', 'work', 'bring', 'page', 'ha', 'align', 'retri', 'canva']"
"['photo', 'video', 'save', 'problem', 'onli', 'describ', 'anim', 'type', 'insert', 'appear', 'doe', 'kind', 'download', 'format', 'add', 'hello', 'whi', 'imag', 'creat', 'design', 'ad', 'templat', 'time', 'display', 'element', 'afternoon', 'project', 'just', 'good', 'phone']"
"['log', 'problem', 'design', 'save', 'kind', 'describ', 'account', 'issu', 'tri', 'work', 'error', 've', 'ca', 'edit', 'thi', 'canva', 'doe', 'help', 'say', 'open', 'job', 'messag', 'comput', 'persist', 'appear', 'chang', 'screen', 'time', 'restart', 'wa']"
"['pro', 'canva', 'save', 'problem', 'use', 'describ', 'issu', 'kind', 'design', 'imag', 'download', 'work', 'account', 'subscript', 'tri', 'ha', 'hi', 'pay', 'version', 'thank', 'thi', 'alreadi', 'need', 'pleas', 'abl', 'help', 'doe', 'type', 'ca', 'trial']"
"['record', 'problem', 'kind', 'save', 'describ', 'present', 'video', 'download', 'ca', 'explain', 'type', 'issu', 'want', 'appear', 'know', 'paus', 'ha', 'studio', 'design', 'imag', 'voic', 'doe', 'wa', 'pictur', 'compon', 'work', 'screen', 'press', 'onli', 'troubl']"
"['video', 'imag', 'save', 'problem', 'type', 'appear', 'describ', 'download', 'doe', 'onli', 'kind', 'insert', 'miss', 'alway', 'project', 'ad', 'canva', 'background', 'edit', 'anim', 'play', 'lyric', 'make', 'come', 'iphon', 'text', 'help', 'pleas', 'mp4', 'complet']"
"['galleri', 'save', 'problem', 'describ', 'design', 'photo', 'phone', 'kind', 'type', 'appear', 'know', 'video', 'issu', 'imag', 'download', 'whi', 'want', 'differ', 'hello', 'art', 'view', 'ca', 'look', 'doe', 'mess', 'project', 'way', 'blur', 'everyth', 'blank']"
"['slow', 'veri', 'problem', 'describ', 'kind', 'type', 'applic', 'updat', 'issu', 'work', 'new', 'design', 'save', 'run', 'canva', 'thi', 'version', 'super', 'difficult', 'bad', 'fix', 'everyth', 'use', 'thank', 'doe', 'pleas', 'download', 'crash', 'imposs', 'app']"
"['come', 'problem', 'save', 'describ', 'kind', 'design', 'imag', 'type', 'video', 'blank', 'issu', 'doe', 'download', 'error', 'letter', 'alway', 'mp4', 'differ', 'thi', 'thank', 'screen', 'wont', 'crop', 'edit', 'project', 'click', 'work', 'hello', 'mobil', 'complet']"
"['anyth', 'ca', 'problem', 'save', 'describ', 'edit', 'kind', 'design', 'issu', 'type', 'work', 'error', 'let', 'page', 'anymor', 'thi', 'tri', 'whi', 'click', 'project', 've', 'access', 'load', 'file', 'frozen', 'say', 'anywher', 'stuck', 'modifi', 'copi']"
"['format', 'save', 'problem', 'mp4', 'describ', 'download', 'video', 'kind', 'issu', 'file', 'type', 'design', 'text', 'differ', 'gif', 'ca', 'photo', 'word', 'chang', 'doc', 'doe', 'imag', 'onli', 'background', 'make', 'edit', 'sound', 'like', 'whi', 'possibl']"
"['copi', 'save', 'make', 'problem', 'kind', 'describ', 'design', 'issu', 'work', 'anoth', 'new', 'tri', 'doe', 'error', 'origin', 'past', 'templat', 'file', 'hi', 'thank', 'canva', 'edit', 'help', 'say', 'unabl', '1080', 'thi', 'pleas', 'access', 'text']"
